CMDLINE /home/lippincm/miniforge3/envs/GFF_featurization/bin/python3.12 granularity.py
MEM 2927.585938 1742497238.3868
MEM 2954.210938 1742497238.4876
MEM 2990.023438 1742497238.5915
MEM 3015.148438 1742497238.6929
MEM 3043.460938 1742497238.7960
MEM 3074.585938 1742497238.8966
MEM 3103.085938 1742497238.9973
MEM 3128.960938 1742497239.0980
MEM 3154.835938 1742497239.2005
MEM 3176.960938 1742497239.3047
MEM 3201.148438 1742497239.4069
MEM 3211.460938 1742497239.5077
MEM 3211.460938 1742497239.6107
MEM 3211.460938 1742497239.7117
MEM 3211.460938 1742497239.8132
MEM 3211.460938 1742497239.9146
MEM 3211.460938 1742497240.0159
MEM 3211.460938 1742497240.1172
MEM 3211.460938 1742497240.2188
MEM 3211.460938 1742497240.3224
MEM 3211.460938 1742497240.4249
MEM 3211.460938 1742497240.5263
MEM 3211.460938 1742497240.6323
MEM 3211.460938 1742497240.7371
MEM 3211.460938 1742497240.8383
MEM 3211.460938 1742497240.9394
MEM 3211.460938 1742497241.0416
MEM 3211.460938 1742497241.1430
MEM 3211.460938 1742497241.2438
MEM 3211.460938 1742497241.3462
MEM 3211.460938 1742497241.4469
MEM 3211.460938 1742497241.5493
MEM 3211.460938 1742497241.6537
MEM 3211.460938 1742497241.7543
MEM 3211.460938 1742497241.8579
MEM 3211.835938 1742497241.9586
MEM 3212.023438 1742497242.0593
MEM 3212.960938 1742497242.1607
MEM 3213.335938 1742497242.2631
MEM 3213.710938 1742497242.3680
MEM 3213.898438 1742497242.4697
MEM 3213.898438 1742497242.5730
MEM 3214.085938 1742497242.6750
MEM 3214.460938 1742497242.7795
MEM 3215.023438 1742497242.8802
MEM 3215.398438 1742497242.9815
MEM 3215.585938 1742497243.0831
MEM 3216.148438 1742497243.1845
MEM 3216.523438 1742497243.2858
MEM 3216.898438 1742497243.3894
MEM 3217.085938 1742497243.4938
MEM 3217.460938 1742497243.5948
MEM 3217.835938 1742497243.7037
MEM 3218.398438 1742497243.8047
MEM 3218.773438 1742497243.9067
MEM 3219.148438 1742497244.0073
MEM 3219.523438 1742497244.1085
MEM 3219.523438 1742497244.2101
MEM 3220.085938 1742497244.3112
MEM 3220.648438 1742497244.4122
MEM 2360.703125 1742497244.5132
MEM 2035.839844 1742497244.6153
MEM 1975.636719 1742497244.7187
MEM 2006.468750 1742497244.8194
MEM 2006.468750 1742497244.9205
MEM 2006.468750 1742497245.0221
MEM 2006.468750 1742497245.1237
MEM 2008.156250 1742497245.2258
MEM 2009.281250 1742497245.3271
MEM 2009.656250 1742497245.4309
MEM 2010.781250 1742497245.5318
MEM 2010.968750 1742497245.6335
MEM 2011.156250 1742497245.7354
MEM 2011.156250 1742497245.8363
MEM 2011.156250 1742497245.9410
MEM 2011.156250 1742497246.0423
MEM 2011.343750 1742497246.1434
MEM 2011.718750 1742497246.2448
MEM 2012.656250 1742497246.3485
MEM 2013.031250 1742497246.4492
MEM 2013.031250 1742497246.5499
MEM 2013.218750 1742497246.6513
MEM 2014.718750 1742497246.7519
MEM 2014.906250 1742497246.8537
MEM 2015.281250 1742497246.9544
MEM 2015.468750 1742497247.0549
MEM 2015.468750 1742497247.1554
MEM 2015.843750 1742497247.2585
MEM 2015.843750 1742497247.3594
MEM 2015.843750 1742497247.4602
MEM 2015.843750 1742497247.5635
MEM 2015.843750 1742497247.6643
MEM 2015.843750 1742497247.7651
MEM 2015.843750 1742497247.8660
MEM 2015.843750 1742497247.9686
MEM 2015.843750 1742497248.0695
MEM 2015.843750 1742497248.1701
MEM 2016.031250 1742497248.2716
MEM 2016.031250 1742497248.3739
MEM 2016.031250 1742497248.4752
MEM 2016.218750 1742497248.5764
MEM 2016.218750 1742497248.6781
MEM 2016.218750 1742497248.7814
MEM 2016.218750 1742497248.8824
MEM 2016.218750 1742497248.9831
MEM 2016.218750 1742497249.0847
